"","barcode","plate","name","SssI","platform"
"5775446032_R04C01","5775446032_R04C01",1004,"Plate 1004 10% SssI",0.1,"hm450"
"5775446016_R04C02","5775446016_R04C02",1004,"Plate 1004 35% SssI",0.35,"hm450"
"5775446019_R03C01","5775446019_R03C01",1004,"Plate 1004 60% SssI",0.6,"hm450"
"5775446020_R02C02","5775446020_R02C02",1004,"Plate 1004 85% SssI",0.85,"hm450"
"5772325047_R03C01","5772325047_R03C01",1003,"Plate 1003 10% SssI",0.1,"hm450"
"5772325054_R05C02","5772325054_R05C02",1003,"Plate 1003 35% SssI",0.35,"hm450"
"5772325052_R03C02","5772325052_R03C02",1003,"Plate 1003 60% SssI",0.6,"hm450"
"5772325056_R05C02","5772325056_R05C02",1003,"Plate 1003 85% SssI",0.85,"hm450"
"6026818155_R04C01","6026818155_R04C01",1029,"Plate 1029 10% SssI",0.1,"hm450"
"6026818161_R05C02","6026818161_R05C02",1029,"Plate 1029 35% SssI",0.35,"hm450"
"6026818062_R02C02","6026818062_R02C02",1029,"Plate 1029 60% SssI",0.6,"hm450"
"6026818165_R02C01","6026818165_R02C01",1029,"Plate 1029 85% SssI",0.85,"hm450"
"6057825047_R06C02","6057825047_R06C02",1032,"Plate 1032 10% SssI",0.1,"hm450"
"6057825015_R04C02","6057825015_R04C02",1032,"Plate 1032 35% SssI",0.35,"hm450"
"6057825035_R01C02","6057825035_R01C02",1032,"Plate 1032 60% SssI",0.6,"hm450"
"6057825035_R02C02","6057825035_R02C02",1032,"Plate 1032 85% SssI",0.85,"hm450"
